"","Matricula","Campus","Facultad","Carrera","Proceso","HoraRegistro"
"1","10036","ULV","POSTGRADO","MEAIE","Asignación de Cálculo de Cobro",2021-08-25 11:26:23
"2","40274","TUXTLA","FICTGZ","CPTGZ","Solicitud de Carga Académica",2022-01-21 09:26:37
"3","40274","TUXTLA","FICTGZ","CPTGZ","Asignación de Carga Académica",2022-01-21 13:13:21
"4","40274","TUXTLA","FICTGZ","CPTGZ","Solicitud de Cálculo de Cobro",2022-01-21 13:28:12
"5","40274","TUXTLA","FICTGZ","CPTGZ","Asignación de Cálculo de Cobro",2022-01-21 13:32:37
"6","40274","TUXTLA","FICTGZ","CPTGZ","Confirmación Pago Deposito",2022-01-21 13:34:32
"7","40274","TUXTLA","FICTGZ","CPTGZ","Inscripción Finalizada",2022-01-21 14:56:03
"8","40274","TUXTLA","FICTGZ","CPTGZ","Solicitud de Carga Académica",2021-08-06 09:34:29
"9","40274","TUXTLA","FICTGZ","CPTGZ","Asignación de Carga Académica",2021-08-06 10:54:36
"10","40274","TUXTLA","FICTGZ","CPTGZ","Solicitud de Cálculo de Cobro",2021-08-06 11:08:49
"11","40274","TUXTLA","FICTGZ","CPTGZ","Asignación de Cálculo de Cobro",2021-08-06 12:49:38
"12","40274","TUXTLA","FICTGZ","CPTGZ","Confirmación Pago Deposito",2021-08-06 14:15:43
"13","40274","TUXTLA","FICTGZ","CPTGZ","Inscripción Finalizada",2021-08-09 10:14:43
"14","60529","ULV","NM","BACH","Solicitud de Carga Académica",2021-08-10 08:59:47
"15","60529","ULV","NM","BACH","Asignación de Carga Académica",2021-08-10 09:22:29
"16","60529","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2021-08-10 10:30:57
"17","60529","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-10 12:12:13
"18","60529","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-10 12:13:57
"19","60529","ULV","NM","BACH","Confirmación Pago Deposito",2022-01-18 15:54:06
"20","60529","ULV","NM","BACH","Inscripción Finalizada",2022-01-18 16:35:29
"21","60529","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-17 13:27:23
"22","60529","ULV","NM","BACH","Asignación de Carga Académica",2022-01-18 09:13:31
"23","60529","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-18 10:02:03
"24","60529","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-18 11:18:51
"25","60530","ULV","NM","BACH","Asignación de Carga Académica",2022-01-18 09:03:37
"26","60530","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-17 12:10:25
"27","60530","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-20 10:07:01
"28","60530","ULV","NM","BACH","Inscripción Finalizada",2021-08-23 08:29:44
"29","60530","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-19 12:11:10
"30","60530","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-19 17:22:13
"31","60530","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-19 23:40:37
"32","60530","ULV","NM","BACH","Inscripción Finalizada",2022-01-21 13:15:13
"33","60530","ULV","NM","BACH","Confirmación Pago Deposito",2022-01-21 13:14:38
"34","60530","ULV","NM","BACH","Solicitud de Carga Académica",2021-08-13 12:36:29
"35","60530","ULV","NM","BACH","Asignación de Carga Académica",2021-08-13 13:57:11
"36","60530","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2021-08-15 13:36:08
"37","60530","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-15 13:42:46
"38","60533","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-23 19:20:29
"39","60533","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-23 19:28:53
"40","60533","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-24 08:49:33
"41","60533","ULV","NM","BACH","Inscripción Finalizada",2021-08-24 12:00:19
"42","60533","ULV","NM","BACH","Solicitud de Carga Académica",2021-08-17 10:43:23
"43","60533","ULV","NM","BACH","Asignación de Carga Académica",2021-08-17 11:14:46
"44","60533","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2021-08-17 11:24:56
"45","60533","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-17 11:51:44
"46","60533","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-17 12:10:51
"47","60533","ULV","NM","BACH","Asignación de Carga Académica",2021-10-18 11:31:09
"48","60533","ULV","NM","BACH","Asignación de Carga Académica",2022-01-18 09:11:52
"49","60533","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-18 09:38:25
"50","60533","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-18 10:42:17
"51","60533","ULV","NM","BACH","Confirmación Pago Deposito",2022-01-25 11:25:43
"52","60533","ULV","NM","BACH","Inscripción Finalizada",2022-01-25 12:58:20
"53","70041","ULV","FCE","LEMYSLELI","Solicitud de Carga Académica",2022-02-03 15:26:50
"54","70041","ULV","FCE","LEMYSLELI","Asignación de Carga Académica",2022-02-03 16:14:26
"55","70041","ULV","FCE","LEMYSLELI","Inscripción Finalizada",2022-02-04 09:35:01
"56","70299","ULV","FCA","CPF","Confirmación de Pago en Línea",2022-02-21 19:47:56
"57","70299","ULV","FCA","CPF","Solicitud de Carga Académica",2022-01-17 10:21:20
"58","70299","ULV","FCA","CPF","Confirmación Pago Deposito",2022-01-20 17:03:58
"59","70299","ULV","FCA","CPF","Inscripción Finalizada",2022-01-20 18:31:16
"60","70299","ULV","FCA","CPF","Solicitud de Cálculo de Cobro",2022-01-19 16:28:03
"61","70299","ULV","FCA","CPF","Asignación de Cálculo de Cobro",2022-01-19 17:49:16
"62","70299","ULV","FCA","CPF","Asignación de Carga Académica",2022-01-19 12:16:47
"63","70299","ULV","FCA","CPF","Confirmación Pago Deposito",2021-08-08 15:31:27
"64","70299","ULV","FCA","CPF","Inscripción Finalizada",2021-08-08 15:44:02
"65","70299","ULV","FCA","CPF","Solicitud de Carga Académica",2021-07-26 16:22:43
"66","70299","ULV","FCA","CPF","Asignación de Carga Académica",2021-07-27 12:30:05
"67","70299","ULV","FCA","CPF","Asignación de Carga Académica",2021-07-27 12:40:39
"68","70299","ULV","FCA","CPF","Solicitud de Cálculo de Cobro",2021-07-28 18:40:11
"69","70299","ULV","FCA","CPF","Asignación de Cálculo de Cobro",2021-07-29 09:15:32
"70","70307","ULV","NM","BACH","Asignación de Carga Académica",2021-08-10 11:41:26
"71","70307","ULV","NM","BACH","Solicitud de Carga Académica",2021-08-10 10:22:49
"72","70307","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2021-08-12 09:07:05
"73","70307","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-12 10:35:42
"74","70307","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-20 18:09:38
"75","70307","ULV","NM","BACH","Asignación de Carga Académica",2022-01-20 17:07:01
